port,espece_categorie,ca_2024_kdh,ca_2025_kdh,vol_2024_t,vol_2025_t,delegation,ca_diff_kdh,reduction_pct
MG INZEGANE,CRUSTACES,525.584,768.7599999999999,26.891,38.56400000000001,SOUSS MASSA,243.17599999999993,46.267770708392945
MG INZEGANE,POISSON PELAGIQUE,24065.2205,22075.336000000003,6957.44997,5591.049000000001,SOUSS MASSA,-1989.8844999999965,-8.26871501135839
MG INZEGANE,AUTRE,0.9,0.0,0.16,0.0,SOUSS MASSA,-0.9,-100.0
HALLE MARTIL,ALGUES,0.0,601.4,0.0,30.069999999999997,TANGER TETOUAN AL HCOEIMA,601.4,0.0
HALLE MARTIL,CEPHALOPODES,10744.83,9737.291500000001,144.4255,139.97549999999998,TANGER TETOUAN AL HCOEIMA,-1007.5384999999987,-9.37696082674178
HALLE MARTIL,POISSON BLANC,68.86,35.16625,0.609,0.287,TANGER TETOUAN AL HCOEIMA,-33.69375,-48.93080162648853
CAPI TARFAYA,POISSON PELAGIQUE,52840.9924,72069.73435000001,10824.080999999998,16961.127999999997,LAAYOUNE SAKIA LHAMRA,19228.74195000001,36.389819866441435
CAPI TARFAYA,POISSON BLANC,244.672,931.5405,37.95,144.224,LAAYOUNE SAKIA LHAMRA,686.8684999999999,280.73032467957097
HALLE M'DIQ,CEPHALOPODES,28240.221999999998,27219.0105,437.2455,402.44649999999996,TANGER TETOUAN AL HCOEIMA,-1021.2114999999976,-3.616159603844466
HALLE M'DIQ,CRUSTACES,22139.428000000004,25729.6365,199.60649999999998,233.3535,TANGER TETOUAN AL HCOEIMA,3590.208499999997,16.21635617686237
HALLE M'DIQ,POISSON PELAGIQUE,12491.962999999998,19067.197,766.8064999999999,1221.021,TANGER TETOUAN AL HCOEIMA,6575.234000000002,52.635714659097246
HALLE M'DIQ,POISSON BLANC,16821.26987,22685.249499999998,463.2905,747.9625,TANGER TETOUAN AL HCOEIMA,5863.979629999998,34.860505035105284
HALLE M'DIQ,COQUILLAGES,47.915,27.59,9.583,5.518,TANGER TETOUAN AL HCOEIMA,-20.325,-42.41886674319107
HALLE ESSAOUIRA,CEPHALOPODES,75098.15928999998,88294.99656999999,901.3785,1051.32439,MARRAKECH SAFI,13196.837280000007,17.572783946726226
HALLE ESSAOUIRA,CRUSTACES,73481.8193,73341.04368,1561.1479999999997,1422.8243700000003,MARRAKECH SAFI,-140.77562000000034,-0.1915788440474831
HALLE ESSAOUIRA,POISSON BLANC,43988.94251,54007.51357,1051.5270600000001,1828.04466,MARRAKECH SAFI,10018.571060000002,22.775203240501817
HALLE ESSAOUIRA,COQUILLAGES,15.795499999999999,29.5715,0.885,2.01675,MARRAKECH SAFI,13.776000000000002,87.21471305118548
HALLE ESSAOUIRA,POISSON PELAGIQUE,36907.53634,28363.717699999997,3569.8455799999997,2562.64197,MARRAKECH SAFI,-8543.818640000001,-23.149252123719517
HALLE ESSAOUIRA,ALGUES,3728.422,2813.407,1570.5659999999998,1336.869,MARRAKECH SAFI,-915.0149999999999,-24.54161572912079
